name	variety	region	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	tags	sources
Avocados	Edranol	Qld					yes	yes	yes	yes					fruit	https://www.fruittreecottage.com.au/pages/fruit-tree-calendar
Avocados	Fuerte	Qld				yes	yes	yes	yes						fruit	https://www.fruittreecottage.com.au/pages/fruit-tree-calendar
Avocados	Hass	Qld					yes	yes	yes	yes	yes				fruit	https://www.fruittreecottage.com.au/pages/fruit-tree-calendar
Avocados	Reed	Qld									yes	yes	yes		fruit	https://www.fruittreecottage.com.au/pages/fruit-tree-calendar
Avocados	Sharwill	Qld					yes	yes	yes						fruit	https://www.fruittreecottage.com.au/pages/fruit-tree-calendar
Avocados	Shepard	Qld			yes	yes									fruit	https://www.fruittreecottage.com.au/pages/fruit-tree-calendar
Avocados	Sir Prize	Qld					yes	yes	yes	yes					fruit	https://www.fruittreecottage.com.au/pages/fruit-tree-calendar
Avocados	Wurtz (Dwarf)	Qld									yes	yes	yes	yes	fruit	https://www.fruittreecottage.com.au/pages/fruit-tree-calendar
Avocados		SA	yes	yes				yes	yes	yes	yes	yes	yes	yes	fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Avocados		Tas	yes	yes	yes	be quick								yes	fruit	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Avocados		Vic	yes	yes								yes	yes	yes	fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Avocados		WA	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fruit	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Bananas		AU	yes	yes	yes	yes	yes						yes	yes	fruit	https://www.frugalandthriving.com.au/seasonal-eating/
Bananas		NSW	yes		yes	yes	yes	yes	yes	yes		yes	yes	yes	fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Bananas		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Bananas		WA	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fruit	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Bean shoots		Tas	yes	yes	yes	yes	be quick	yes	yes	yes	yes	yes	yes	yes	vegetable	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Beans		AU	yes	yes	yes						yes	yes	yes	yes	vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Beans		SA	maybe	yes											vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Beans		Vic	yes	yes	yes	yes	yes						yes	yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Beans (broad)		NSW									yes	yes			vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Beans (broad)		Qld	yes	yes										yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Beans (broad)		SA									yes	yes	yes		vegetable	https://adelaidecentralmarket.com.au/in-season-spring/
Beans (broad)		Tas	yes	yes		yes		yes	yes	yes	yes	yes	yes	yes	vegetable	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Beans (broad)		Vic											yes	yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Beans (broad)		WA	yes	yes										yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Beans (bush)		Tas	yes	yes	yes	yes								yes	vegetable	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Beans (butter)		NSW	yes	yes										yes	vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Beans (butter)		SA	yes	yes										yes	vegetable	https://adelaidecentralmarket.com.au/in-season-summer/
Beans (butter)		Tas		yes	yes	yes									vegetable	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Beans (flat)		NSW	yes	yes										yes	vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Beans (flat)		Qld	yes	yes										yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Beans (green)		NSW	yes	yes	yes	yes					yes	yes	yes	yes	vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Beans (green)		Qld	yes	yes										yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Beans (green)		Tas	yes	frozen	frozen	frozen	frozen and be quick	frozen	frozen	frozen	frozen	frozen	frozen	yes	vegetable	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Beans (green)		WA	yes	yes	yes	yes	yes				yes	yes	yes	yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Beans (purple)		Tas		yes	yes	yes									vegetable	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Beans (runner)		Tas		yes											vegetable	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Beans (snake)		NSW		yes											vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Beans (snake)		NT	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://nt.gov.au/environment/home-gardens/growing-vegetables-at-home
Beans (snake)		SA	yes	yes										yes	vegetable	https://adelaidecentralmarket.com.au/in-season-summer/
Beans (string)		WA	yes	yes										yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Beetroots		AU				yes	yes	yes	yes	yes					vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Beetroots		NSW						yes	yes	yes	yes	yes			vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Beetroots		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Beetroots		SA	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Beetroots		Tas	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Beetroots		Vic				yes		yes	yes	yes	yes	yes	yes	yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Beetroots		WA	yes	yes	yes	yes	yes	yes	yes	yes				yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Berries		AU	yes	yes	yes									yes	fruit	https://www.frugalandthriving.com.au/seasonal-eating/
Black winter truffles		Tas	yes	yes	yes	yes	yes	yes	yes	be quick	yes	yes	yes	yes	vegetable	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Blackberries		NSW	yes											yes	fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Blackberries		Qld	yes	yes										yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Blackberries		SA	yes	yes	yes	yes	yes							yes	fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Blackberries		Tas	yes	yes	yes	be quick	frozen	frozen	frozen	frozen	frozen	frozen	frozen	yes	fruit	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Blackberries		Vic	yes	yes	yes										fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Blackcurrants		Tas	yes	yes										yes	fruit	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Blood oranges		NSW								yes	yes				fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Blood oranges		SA									yes	yes	yes		fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Blood oranges		Vic							yes	yes	yes				fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Blueberries		NSW	yes	yes								yes	yes	yes	fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Blueberries	Black Knight Table Grapes	Qld							yes	yes					fruit	https://pickyourown.org/australiaqueen.htm
Blueberries	Cooloola Berries	Qld	yes											yes	fruit	https://pickyourown.org/australiaqueen.htm
Blueberries	Mountain Blue Eureka	Qld			yes	yes	yes	yes	yes	yes	yes	yes			fruit	https://www.kureenfarming.com.au/berry-north
Blueberries	Mundubbera	Qld								yes	yes	peak	yes		fruit	https://www.qld.gov.au/about/pickqld/crops-by-season-and-location|https://berries.net.au/home/about/blueberries/|https://www.bundabergregion.org/stories/a-jam-packed-weekend-at-mundubbera-blueberry-festival
Blueberries		Qld	yes	yes	yes	yes	yes				yes	yes	yes	yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Blueberries		SA	yes	yes										yes	fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Blueberries		Tas	yes	yes	yes	be quick	frozen	frozen	frozen	frozen	frozen	frozen	frozen	yes	fruit	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Blueberries		Vic	yes										yes	yes	fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Blueberries		WA									yes	yes	yes		fruit	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Bok choy		NSW			yes	yes	yes								vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Bok choy		SA	yes	yes				yes	yes	yes	yes	yes	yes	yes	vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Boysenberries		Tas	yes											yes	fruit	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Boysenberries		Vic	yes	yes											fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Bramble berries		Tas	yes	yes	yes	yes								yes	fruit	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
